"","sample_id","t_initial","t_final","cfu_slope","cfu_intercept","cfu_initial","cfu_final","cfu_mean","pfu_slope","pfu_intercept","pfu_initial","pfu_final","V_T2_T1","replicate","filename","group","mutation_type","spi"
"103","Lys2_4",0,7,0.530304715,5.478552148,300990.0562,1551262005,21608203.03,0.423641739,5.849237583,706704.0541,652724259.3,652017555.2,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00171919569515115
"104","Lys2_4",0,7,0.530304715,5.478552148,300990.0562,1551262005,21608203.03,0.423641739,5.849237583,706704.0541,652724259.3,652017555.2,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00171919569515115
"105","Lys2_4",0,5,0.561537068,5.425320778,266269.1044,171003940.4,6747819.356,0.588401907,5.350522694,224141.7166,196124670.7,195900529,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00231571375091998
"106","Lys2_4",0,7,0.523901639,5.461015867,289078.5499,1343777434,19709318.41,0.416335467,5.898533083,791649.7567,649952097.7,649160447.9,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.0018765715303996
"107","Lys2_5",0,7,0.574745858,5.494307016,312109.52,3292516959,32056604.43,0.492940386,5.746275575,557539.4149,1573469321,1572911782,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00279557742776951
"108","Lys2_5",0,7,0.549583371,5.369241011,234013.5535,1645601236,19623786.41,0.469878372,5.593307692,392019.5197,762880114.1,762488094.6,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00221378243161944
"109","Lys2_5",0,7,0.549583371,5.369241011,234013.5535,1645601236,19623786.41,0.469878372,5.593307692,392019.5197,762880114.1,762488094.6,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00221378243161944
"110","Lys2_5",0,5,0.567099266,5.70999761,512858.5611,351151025.2,13419791.71,0.582863606,5.602843409,400722.2055,328973896.9,328573174.7,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00195298560539828
"111","Lys2_5",0,7,0.528841125,5.526340912,336001.2649,1691331686,23838825.18,0.418275505,5.920803309,833303.697,705881574.8,705048271.1,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00168507284889976
"112","Lys2_6",0,7,0.53274462,5.614307131,411440.5871,2205563016,30124045.91,0.469492515,5.812249988,649007.9065,1255155666,1254506658,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00237270828962984
"113","Lys2_6",0,7,0.58508573,5.258626052,181395.3091,2260612702,20250050.37,0.436831174,5.723712962,529313.4895,604687763.7,604158450.3,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00169984539983437
"114","Lys2_6",0,7,0.58508573,5.258626052,181395.3091,2260612702,20250050.37,0.436831174,5.723712962,529313.4895,604687763.7,604158450.3,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00169984539983437
"115","Lys2_6",0,5,0.574060942,5.719455954,524150.4388,388830805.2,14276058.18,0.579167602,5.618409319,415345.3177,326773874.2,326358528.9,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00182347314270536
"116","Lys2_6",0,7,0.540880109,5.495242121,312782.2655,1911625792,24452456.85,0.427492544,5.903935718,801559.4121,787741131.8,786939572.4,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00183359561463913
"117","Lys2",0,7,0.546390858,5.509773933,323425.2581,2160279470,26432724.89,0.427936481,5.941182075,873337.4328,864445150.8,863571813.3,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00186140639057435
