"","time","sample_id","group","type","mutation_type","gen_rearr","mean_amount","sd_amount"
"163",5,"14_4","ev_pop_2","cfu","spacer_deletion","NO",35555555.5566667,21285826.7334086
"164",5,"14_4","ev_pop_2","pfu","spacer_deletion","NO",35629629.63,46134710.6059301
"165",5,"14_5","ev_pop_2","cfu","spacer_mutation","NO",33333333.3333333,2222222.225
"166",5,"14_5","ev_pop_2","pfu","spacer_mutation","NO",37314814.8133333,49481394.846549
"167",5,"14_6","ev_pop_2","cfu","large_deletion","DUP",34814814.8133333,11184939.908152
"168",5,"14_6","ev_pop_2","pfu","large_deletion","DUP",14648148.1466667,17154016.6718314
"169",5,"15_1","ev_pop_3","cfu","cas_mutation","NO",20111111.11125,18123263.3613978
"170",5,"15_1","ev_pop_3","pfu","cas_mutation","NO",14027777.77875,12629045.8233376
"171",5,"15_2","ev_pop_3","cfu","spacer_deletion","NO",19944444.4445,22959169.3383329
"172",5,"15_2","ev_pop_3","pfu","spacer_deletion","NO",16861111.112,16172265.7981921
"173",5,"15_3","ev_pop_3","cfu","cas_mutation","NO",17666666.667,17194601.5059393
"174",5,"15_3","ev_pop_3","pfu","cas_mutation","NO",16148148.148,16459952.6464879
"175",5,"15_4","ev_pop_3","cfu","large_deletion","DEL",23638888.889,22840541.3531754
"176",5,"15_4","ev_pop_3","pfu","large_deletion","DEL",16592592.5926667,12033560.7542779
"177",5,"15_5","ev_pop_3","cfu","large_deletion","DEL",17611111.10975,18023647.016518
"178",5,"15_5","ev_pop_3","pfu","large_deletion","DEL",15222222.2233333,14366026.4549602
"179",5,"15_6","ev_pop_3","cfu","cas_deletion","NO",22194444.44325,21792205.1590972
"180",5,"15_6","ev_pop_3","pfu","cas_deletion","NO",16462962.9633333,12817611.0229809
"181",6,"13_1","ev_pop_1","cfu","spacer_deletion","NO",80555555.555,17320508.0765441
"182",6,"13_1","ev_pop_1","pfu","spacer_deletion","NO",35833333.335,17716909.6850689
"183",6,"13_2","ev_pop_1","cfu","spacer_deletion","NO",83888888.8875,7508568.49077495
"184",6,"13_2","ev_pop_1","pfu","spacer_deletion","NO",46111111.1125,11776380.0739659
"185",6,"13_3","ev_pop_1","cfu","large_deletion","DEL",98333333.3475,16666666.6841111
"186",6,"13_3","ev_pop_1","pfu","large_deletion","DEL",22777777.7775,10363754.5050402
"187",6,"13_4","ev_pop_1","cfu","large_deletion","DUP",75277777.7725,18243325.6190362
"188",6,"13_4","ev_pop_1","pfu","large_deletion","DUP",28055555.555,15749452.9279212
"189",6,"13_5","ev_pop_1","cfu","spacer_mutation","NO",84722222.215,13709958.5175102
"190",6,"13_5","ev_pop_1","pfu","spacer_mutation","NO",4e+07,11582589.4625699
"191",6,"13_6","ev_pop_1","cfu","spacer_mutation","NO",8e+07,12893996.432321
"192",6,"13_6","ev_pop_1","pfu","spacer_mutation","NO",39444444.4425,19552609.2066523
"193",6,"14_1","ev_pop_2","cfu","large_deletion","DEL",77407407.4066667,11349298.8525841
"194",6,"14_1","ev_pop_2","pfu","large_deletion","DEL",28888888.89,8012336.16939267
"195",6,"14_2","ev_pop_2","cfu","cas_mutation","NO",69629629.6266667,4490502.09498009
"196",6,"14_2","ev_pop_2","pfu","cas_mutation","NO",4e+07,7286042.80740637
"197",6,"14_3","ev_pop_2","cfu","large_deletion","DUP",79629629.63,12289377.7924982
"198",6,"14_3","ev_pop_2","pfu","large_deletion","DUP",27037037.0366667,11564811.1077893
"199",6,"14_4","ev_pop_2","cfu","spacer_deletion","NO",94074074.0633333,17261007.6815793
"200",6,"14_4","ev_pop_2","pfu","spacer_deletion","NO",40370370.37,641500.298458084
"201",6,"14_5","ev_pop_2","cfu","spacer_mutation","NO",89629629.63,11880751.7996764
"202",6,"14_5","ev_pop_2","pfu","spacer_mutation","NO",50370370.37,1283000.59691617
"203",6,"14_6","ev_pop_2","cfu","large_deletion","DUP",81851851.8533333,5010277.50293121
"204",6,"14_6","ev_pop_2","pfu","large_deletion","DUP",20740740.7433333,6318045.22489243
"205",6,"15_1","ev_pop_3","cfu","cas_mutation","NO",77500000.0025,7446655.28306048
"206",6,"15_1","ev_pop_3","pfu","cas_mutation","NO",38055555.555,12615719.5060263
"207",6,"15_2","ev_pop_3","cfu","spacer_deletion","NO",66944444.445,15775560.617444
"208",6,"15_2","ev_pop_3","pfu","spacer_deletion","NO",33055555.555,17222222.222043
"209",6,"15_3","ev_pop_3","cfu","cas_mutation","NO",70277777.775,10555555.5545614
"210",6,"15_3","ev_pop_3","pfu","cas_mutation","NO",38333333.3325,22816137.5253508
"211",6,"15_4","ev_pop_3","cfu","large_deletion","DEL",88055555.55,19717657.2594002
"212",6,"15_4","ev_pop_3","pfu","large_deletion","DEL",36666666.665,25304727.1873525
"213",6,"15_5","ev_pop_3","cfu","large_deletion","DEL",81666666.6775,20816660.0066709
"214",6,"15_5","ev_pop_3","pfu","large_deletion","DEL",32222222.2225,25772030.0109237
"215",6,"15_6","ev_pop_3","cfu","cas_deletion","NO",77777777.7725,19938176.0420544
"216",6,"15_6","ev_pop_3","pfu","cas_deletion","NO",38333333.3325,26920092.0897339
"217",7,"13_1","ev_pop_1","cfu","spacer_deletion","NO",461111111.125,99587627.1044979
"218",7,"13_1","ev_pop_1","pfu","spacer_deletion","NO",134166666.675,54745013.1096873
"219",7,"13_2","ev_pop_1","cfu","spacer_deletion","NO",486111111.125,102389155.138518
