time,sample_id,group,mutation_type,zong_spi
10,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.009047799
10,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.007887929
10,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.011233814
10,Lys2_ev_3_5,ev_pop_3,large_deletion,0.007421949
10,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.010954989
10,Lys2_1,anc_pop_2,ancestral,0.043671871
10,Lys2_2,anc_pop_2,ancestral,0.037065188
10,Lys2_3,anc_pop_2,ancestral,0.040975712
10,Lys2_4,anc_pop_2,ancestral,0.034173425
10,Lys2_5,anc_pop_2,ancestral,0.034309533
10,Lys2_6,anc_pop_2,ancestral,0.035106272
12,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.010629406
12,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.013706812
12,Lys2_ev_1_3,ev_pop_1,large_deletion,0.009629817
12,Lys2_ev_1_4,ev_pop_1,large_deletion,0.006966502
12,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.01488809
12,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.013062099
12,Lys2_ev_2_1,ev_pop_2,large_deletion,0.014518619
12,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.008071412
12,Lys2_ev_2_3,ev_pop_2,large_deletion,0.009401676
12,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.008067943
12,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.013590478
12,Lys2_ev_2_6,ev_pop_2,large_deletion,0.00524497
12,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.01122749
12,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.01141646
12,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.012236278
12,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.01162704
12,Lys2_ev_3_5,ev_pop_3,large_deletion,0.008779309
12,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.016976763
12,Lys2_1,anc_pop_2,ancestral,0.015100745
12,Lys2_2,anc_pop_2,ancestral,0.01534466
12,Lys2_3,anc_pop_2,ancestral,0.026114426
12,Lys2_4,anc_pop_2,ancestral,0.019415318
12,Lys2_5,anc_pop_2,ancestral,0.018292005
12,Lys2_6,anc_pop_2,ancestral,0.022045952
15,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.012555056
15,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.009508405
15,Lys2_ev_1_3,ev_pop_1,large_deletion,0.007500068
15,Lys2_ev_1_4,ev_pop_1,large_deletion,0.005945165
15,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.009732476
15,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.009631923
15,Lys2_ev_2_1,ev_pop_2,large_deletion,0.008014443
15,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.006736362
15,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008324542
15,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.007343789
15,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.010862957
15,Lys2_ev_2_6,ev_pop_2,large_deletion,0.005552611
15,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.004633234
15,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.005667843
15,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.008552972
15,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.007829236
